Meditation,Attention,F8 -T4 ,F7 -T3 
63,49,744,-134
63,49,744,-134
64,49,746,-139
63,50,746,-139
63,52,742,-136
64,53,738,-136
65,53,740,-135
65,51,743,-138
62,56,742,-138
60,51,744,-135
65,50,745,-140
67,48,744,-139
68,51,743,-134
66,49,744,-139
64,49,747,-138
67,48,747,-138
65,49,746,-136
66,50,744,-139
67,50,741,-138
63,51,743,-141
62,52,740,-138
66,57,740,-134
67,52,745,-137
63,52,739,-138
65,52,739,-137
65,50,743,-139
68,47,743,-137
67,50,745,-136
63,54,739,-135
63,54,743,-137
65,55,740,-137
66,52,742,-136
69,50,743,-135
66,52,739,-136
66,51,742,-133
67,49,748,-136
66,51,746,-138
67,52,745,-140
64,53,745,-137
63,50,745,-137
66,52,745,-138
65,56,742,-134
63,53,737,-136
65,51,741,-137
66,50,745,-139
66,50,746,-141
65,51,745,-140
65,47,743,-138
64,50,742,-137
62,51,739,-138
63,50,742,-139
62,49,743,-140
62,45,747,-138
63,46,748,-135
64,50,746,-138
67,49,746,-140
63,50,747,-139
63,50,745,-137
63,54,742,-137
64,54,743,-135
63,51,743,-139
63,50,745,-143
63,47,744,-139
62,52,745,-135
67,48,746,-139
68,52,748,-141
66,51,745,-134
65,50,742,-133
63,50,742,-133
64,48,742,-134
64,50,742,-136
63,52,742,-139
64,50,748,-140
68,49,744,-140
70,50,744,-138
67,47,746,-136
66,46,748,-138
63,53,743,-140
65,52,744,-137
67,52,743,-137
65,45,746,-134
62,50,744,-137
62,50,745,-138
62,49,744,-138
64,48,740,-134
66,47,743,-137
63,50,745,-135
65,49,745,-137
66,51,744,-135
62,50,743,-139
65,48,746,-136
67,51,745,-137
67,51,741,-138
68,52,741,-134
65,50,743,-136
68,49,741,-138
69,50,743,-139
64,52,743,-140
62,48,746,-137
63,50,746,-134
61,48,746,-142
66,49,745,-136
64,48,746,-137
66,47,745,-137
63,47,744,-138
62,49,742,-137
64,48,745,-137
68,49,744,-134
68,51,745,-137
64,53,743,-137
61,52,742,-139
65,51,744,-138
66,51,744,-139
68,51,743,-137
62,50,740,-139
63,51,744,-136
63,48,747,-133
65,47,748,-133
65,47,749,-135
65,46,745,-138
66,47,743,-135
68,45,745,-138
62,45,748,-136
66,48,746,-139
63,51,740,-144
65,52,740,-139
63,52,741,-133
64,49,745,-135
62,47,750,-141
65,49,747,-143
64,54,742,-137
64,51,745,-136
62,49,747,-135
63,47,749,-138
65,51,744,-139
64,49,744,-140
67,50,744,-137
65,50,743,-134
67,53,742,-136
68,49,745,-137
65,49,747,-136
62,53,744,-139
61,51,741,-138
66,51,741,-137
68,48,744,-139
68,53,738,-138
69,47,743,-138
65,51,743,-138
62,54,743,-135
65,58,736,-136
65,54,739,-135
63,52,744,-137
64,50,749,-138
66,50,747,-139
67,51,743,-141
67,50,742,-139
64,50,745,-135
65,50,744,-136
61,50,741,-139
63,48,740,-135
67,54,740,-136
65,53,744,-140
65,50,747,-140
64,50,747,-137
63,52,742,-135
64,51,741,-137
61,54,741,-139
64,56,742,-140
61,51,746,-137
66,45,745,-138
63,48,744,-136
65,53,741,-138
65,53,743,-139
64,50,743,-135
66,53,745,-136
63,53,743,-140
66,56,743,-136
65,51,742,-137
60,53,743,-138
62,50,742,-138
66,51,741,-135
66,46,749,-135
62,52,745,-137
63,55,739,-140
64,54,739,-139
65,50,744,-137
65,48,745,-134
62,47,749,-138
60,52,741,-137
62,55,740,-140
65,52,743,-137
63,49,746,-138
65,49,748,-136
66,48,745,-137
64,51,744,-134
61,51,743,-142
63,50,746,-143
66,49,747,-139
64,48,745,-134
67,51,741,-133
64,49,743,-133
66,53,738,-135
65,52,741,-134
66,50,743,-137
67,51,742,-139
64,47,746,-140
60,50,749,-139
62,52,746,-137
66,54,743,-134
67,52,744,-138
66,51,745,-140
67,52,745,-136
66,53,743,-136
67,51,745,-138
65,47,746,-139
67,53,745,-133
67,51,745,-136
65,49,746,-136
66,49,744,-137
63,48,744,-140
64,46,743,-139
64,50,739,-135
64,52,738,-139
67,51,746,-137
65,48,748,-136
65,49,745,-136
64,55,739,-138
63,57,732,-137
67,53,736,-138
67,51,742,-140
64,51,744,-136
63,49,744,-134
64,48,738,-139
64,54,737,-138
61,52,743,-138
61,47,746,-139
67,48,745,-138
69,50,741,-137
63,51,742,-138
66,52,742,-136
70,52,744,-134
63,51,742,-136
66,48,744,-139
66,49,744,-137
67,48,746,-140
63,45,746,-136
64,46,747,-138
62,52,742,-139
65,52,741,-138
67,52,740,-140
66,49,744,-136
67,52,743,-140
66,47,745,-140
65,46,744,-140
66,43,746,-138
68,47,746,-139
67,52,743,-138
67,55,741,-137
65,53,744,-141
65,49,745,-141
63,49,743,-142
68,47,747,-139
67,52,746,-140
67,54,744,-139
66,53,745,-141
64,52,745,-137
66,54,742,-138
64,52,744,-135
65,52,746,-138
64,55,742,-137
68,52,745,-137
67,53,745,-135
65,50,744,-137
68,49,742,-139
64,48,746,-136
65,51,743,-134
66,51,741,-139
63,51,743,-138
63,49,741,-137
64,52,741,-135
64,57,735,-140
67,54,737,-141
66,54,739,-140
67,54,741,-138
67,49,743,-135
64,51,742,-137
66,47,745,-136
63,50,742,-135
63,53,740,-136
64,51,743,-138
62,44,745,-137
64,46,744,-134
63,47,743,-136
64,49,744,-138
63,52,742,-138
62,56,741,-137
62,52,746,-137
64,49,745,-138
66,47,744,-140
65,46,743,-137
64,50,743,-136
62,47,745,-134
65,50,744,-138
67,49,743,-138
63,48,745,-139
65,48,746,-139
66,50,747,-141
68,48,744,-137
66,51,740,-137
64,54,740,-134
66,55,740,-137
63,53,742,-137
62,51,742,-136
62,54,744,-138
62,50,743,-140
63,48,743,-135
64,50,741,-135
61,50,740,-133
61,53,740,-136
65,52,740,-138
67,51,741,-138
67,51,742,-140
68,46,746,-138
67,50,745,-136
66,50,742,-134
64,54,739,-135
66,52,744,-138
64,47,746,-138
67,51,744,-138
68,47,746,-137
68,55,740,-137
65,50,743,-135
66,52,742,-136
66,51,745,-137
62,48,745,-137
64,49,747,-140
61,51,746,-138
63,55,742,-137
62,52,741,-137
61,52,744,-139
62,55,742,-140
62,56,741,-138
63,50,743,-137
65,53,741,-136
65,54,743,-139
60,53,741,-136
65,50,740,-133
66,51,739,-134
63,52,743,-137
62,53,743,-137
64,53,741,-134
63,49,742,-136
64,49,744,-137
63,53,741,-139
62,52,737,-138
60,50,742,-137
64,51,740,-136
63,49,740,-138
60,49,745,-139
65,50,749,-136
66,46,747,-137
65,47,745,-137
69,47,743,-137
66,53,739,-137
66,52,740,-135
65,54,741,-137
64,54,740,-137
67,52,741,-132
64,52,739,-134
64,51,741,-138
67,51,742,-141
66,46,744,-135
67,50,745,-132
66,49,740,-133
63,52,742,-138
65,54,742,-136
63,52,741,-133
65,54,737,-132
64,55,737,-139
66,51,742,-140
62,47,746,-138
61,48,746,-138
65,48,743,-135
64,53,743,-136
63,54,738,-137
65,49,742,-138
65,48,741,-137
67,46,745,-136
68,49,739,-137
66,49,741,-140
68,53,739,-137
64,50,741,-135
61,51,738,-138
65,47,740,-137
68,50,738,-137
62,51,743,-136
62,49,748,-138
69,50,747,-139
67,49,742,-138
64,51,743,-137
64,55,744,-136
63,52,743,-136
61,50,739,-134
61,49,743,-135
64,49,747,-137
64,52,747,-135
64,53,743,-138
67,55,740,-135
66,50,741,-136
66,49,743,-136
64,47,746,-136
64,50,744,-135
64,49,746,-137
68,50,743,-138
64,51,739,-138
62,51,742,-138
67,50,743,-137
69,52,744,-135
66,48,745,-136
64,52,744,-137
63,49,745,-134
66,54,744,-137
64,49,745,-140
64,53,739,-136
65,58,739,-137
64,56,738,-138
65,51,740,-137
64,51,737,-137
66,55,742,-140
65,55,742,-135
62,54,737,-133
62,55,736,-136
65,53,740,-141
65,52,743,-136
66,48,744,-133
67,53,743,-135
69,50,742,-135
67,49,744,-133
66,49,744,-138
67,53,738,-139
66,49,741,-137
63,52,743,-138
64,47,745,-137
64,50,743,-137
67,49,742,-136
65,53,740,-139
69,52,738,-137
66,54,740,-137
65,53,740,-136
61,48,743,-138
59,53,744,-139
63,51,745,-136
66,47,747,-138
65,50,740,-138
62,52,739,-137
65,55,736,-139
64,51,743,-135
67,49,742,-137
66,52,744,-136
67,50,744,-137
67,49,749,-140
67,52,745,-135
67,50,746,-135
66,47,745,-136
67,46,743,-139
66,47,742,-139
68,50,743,-138
70,52,746,-136
71,52,744,-135
68,50,745,-135
66,47,745,-135
66,50,743,-134
65,48,744,-137
64,52,743,-138
65,52,743,-137
66,52,746,-138
67,49,747,-137
65,50,744,-136
65,53,744,-137
63,56,744,-136
67,49,745,-138
68,53,742,-137
65,52,742,-137
67,52,745,-138
67,50,742,-137
67,53,740,-136
66,52,741,-134
62,48,745,-135
66,48,746,-137
64,51,746,-141
61,54,741,-137
62,56,739,-136
65,55,738,-136
67,47,747,-137
66,53,741,-135
66,53,741,-137
65,51,739,-138
62,49,743,-141
60,53,740,-137
62,54,737,-133
66,51,738,-137
65,44,748,-139
66,52,742,-141
67,51,741,-137
66,54,737,-137
65,56,737,-136
63,52,740,-137
64,54,738,-139
66,52,742,-139
69,50,739,-136
63,47,744,-137
65,54,744,-137
65,55,738,-136
66,47,740,-135
67,48,746,-136
69,50,744,-140
70,54,743,-140
67,48,745,-137
67,50,744,-138
65,48,746,-140
65,55,742,-139
67,52,742,-137
65,48,744,-135
64,48,746,-138
66,52,744,-137
63,51,745,-137
62,51,742,-139
62,50,742,-140
66,54,739,-135
63,54,741,-136
62,54,740,-136
63,49,741,-137
64,47,743,-137
64,49,745,-136
62,50,743,-139
63,50,740,-140
65,49,745,-137
65,52,744,-138
64,48,743,-137
67,48,744,-135
70,51,742,-138
69,51,742,-136
64,48,743,-132
65,52,742,-137
67,52,742,-140
65,51,742,-139
63,52,744,-136
62,54,745,-135
65,54,743,-140
63,51,743,-139
64,49,743,-138
64,52,741,-136
63,53,743,-138
63,51,743,-139
65,54,741,-136
63,58,736,-133
64,57,739,-136
66,51,743,-139
65,47,744,-137
65,46,742,-137
65,47,744,-137
62,50,742,-138
67,54,741,-138
64,53,740,-137
64,51,741,-138
67,48,744,-137
68,46,749,-135
66,47,746,-135
64,48,743,-135
68,49,743,-136
66,51,744,-138
68,51,743,-133
68,55,740,-136
68,51,743,-137
64,50,743,-136
64,50,745,-138
64,48,743,-137
66,53,743,-138
67,47,745,-137
67,53,738,-139
65,51,739,-141
64,57,737,-138
62,56,735,-136
64,53,736,-133
68,55,738,-135
67,52,742,-137
70,52,741,-134
65,46,746,-140
63,52,741,-135
67,54,739,-134
64,55,739,-136
64,50,745,-137
63,53,742,-136
64,49,745,-135
67,50,744,-135
65,49,745,-134
63,53,742,-136
63,50,742,-136
64,50,743,-138
65,51,744,-140
62,52,745,-139
59,48,745,-136
60,54,743,-140
64,46,744,-141
62,46,744,-135
61,47,742,-133
62,47,743,-133
62,47,747,-138
59,48,744,-136
63,51,743,-134
64,55,740,-136
66,51,741,-137
67,49,743,-133
65,51,740,-134
63,52,742,-138
68,52,742,-134
65,50,741,-135
63,52,739,-138
64,48,739,-137
60,49,746,-138
61,48,745,-136
63,52,744,-136
65,52,740,-136
65,52,742,-137
66,48,745,-136
66,48,741,-134
61,50,740,-138
65,52,738,-137
66,49,742,-137
59,49,743,-136
66,50,742,-137
67,55,742,-134
66,51,743,-137
65,52,745,-136
63,47,743,-138
61,50,743,-138
65,52,742,-139
60,55,741,-137
62,55,743,-139
65,50,747,-136
64,45,749,-138
61,47,743,-136
63,51,740,-138
68,51,743,-139
65,52,741,-137
66,53,740,-135
64,52,740,-133
63,54,740,-131
67,53,741,-133
62,51,742,-137
57,49,744,-138
62,50,744,-140
64,50,746,-136
64,52,744,-134
65,49,744,-136
66,52,741,-135
64,53,742,-135
65,52,744,-137
63,53,743,-139
66,51,742,-136
65,50,743,-135
66,50,744,-135
69,49,743,-137
66,52,740,-135
65,49,741,-139
66,51,740,-137
67,52,741,-137
65,51,742,-137
62,48,742,-136
63,49,741,-139
61,56,740,-137
60,56,737,-135
61,57,737,-138
61,48,741,-138
63,50,744,-139
61,48,746,-137
59,55,738,-133
66,54,736,-135
64,54,737,-141
61,55,738,-137
65,49,741,-133
67,50,741,-135
69,53,740,-137
69,53,737,-136
67,54,736,-133
65,49,739,-132
65,47,744,-139
64,47,745,-140
68,42,748,-140
65,51,745,-137
66,50,739,-136
68,51,738,-132
64,51,742,-137
63,49,745,-135
63,53,743,-139
62,52,741,-136
61,51,741,-136
61,54,742,-137
63,54,742,-137
65,52,745,-137
67,49,744,-139
67,50,742,-138
67,52,740,-135
64,51,742,-135
64,47,744,-136
66,49,744,-139
63,49,743,-138
64,51,740,-140
67,48,742,-136
63,51,746,-139
64,50,747,-136
68,53,742,-139
67,51,738,-135
68,52,739,-140
66,52,745,-137
66,53,744,-136
61,55,743,-134
59,52,743,-137
63,52,743,-138
63,52,743,-140
65,50,742,-139
69,51,743,-136
65,51,739,-138
64,56,737,-136
63,56,735,-137
64,55,736,-138
66,52,737,-136
68,50,739,-135
63,51,740,-137
61,52,742,-137
64,51,745,-137
62,50,744,-137
65,51,744,-141
64,52,744,-140
63,53,744,-139
61,51,743,-137
63,51,740,-138
68,47,741,-136
61,51,741,-133
62,48,741,-135
61,48,742,-137
60,51,742,-137
61,52,740,-137
65,53,742,-138
67,52,740,-137
68,50,741,-135
64,48,745,-135
64,48,747,-140
64,48,744,-135
60,52,740,-134
65,55,743,-138
64,47,747,-140
66,47,744,-138
64,50,741,-136
62,49,738,-138
63,50,738,-134
64,49,741,-135
63,47,743,-137
63,50,743,-137
64,47,745,-134
65,47,744,-136
66,49,742,-136
63,53,741,-137
62,53,745,-138
68,52,747,-141
66,50,744,-136
66,51,742,-135
67,50,744,-133
61,52,740,-136
65,47,742,-137
66,48,744,-138
66,51,744,-139
68,52,743,-136
66,49,743,-137
67,47,743,-135
65,49,739,-137
63,53,741,-137
62,54,739,-137
63,51,740,-136
64,51,740,-140
64,49,740,-140
65,52,739,-135
64,52,741,-136
64,53,742,-138
67,51,746,-137
67,45,744,-136
66,50,739,-136
68,51,741,-134
69,50,742,-138
67,51,742,-135
66,51,739,-133
65,51,742,-134
64,52,742,-135
65,55,742,-136
61,53,744,-139
64,51,745,-139
68,53,745,-140
66,52,744,-139
68,49,745,-135
68,50,744,-135
66,51,742,-138
64,52,741,-138
66,51,743,-136
65,52,743,-137
65,52,740,-136
63,50,742,-135
65,53,741,-137
66,49,743,-139
65,48,744,-137
62,52,744,-135
63,49,743,-137
66,49,744,-141
63,52,744,-138
67,52,745,-133
65,49,745,-133
64,49,747,-135
66,50,744,-137
65,56,739,-135
64,55,736,-138
64,55,739,-139
62,50,742,-136
64,50,742,-140
66,49,744,-138
61,47,743,-137
63,50,742,-135
65,47,743,-136
63,47,743,-136
67,51,743,-136
63,54,743,-137
64,51,743,-137
68,52,745,-135
65,52,745,-137
65,50,745,-133
67,51,744,-136
63,50,744,-135
61,50,743,-139
61,52,742,-138
63,55,741,-137
63,57,738,-139
64,49,742,-138
68,48,740,-139
64,52,741,-139
66,50,739,-136
65,53,742,-135
59,48,742,-137
58,50,740,-138
63,45,746,-137
67,47,746,-138
66,51,742,-136
68,51,738,-132
65,53,742,-138
63,56,742,-139
64,53,742,-139
65,52,742,-136
66,46,745,-138
66,50,740,-140
63,50,736,-136
61,53,734,-132
63,56,739,-132
63,52,739,-135
68,50,741,-138
69,47,743,-137
64,51,740,-137
64,52,742,-140
63,51,741,-141
64,53,740,-136
64,56,738,-135
65,53,742,-137
63,47,743,-137
65,51,737,-136
64,49,742,-138
66,50,744,-139
64,50,743,-137
63,51,739,-135
61,50,742,-134
62,54,744,-137
64,53,743,-138
63,54,742,-139
62,53,740,-138
66,49,741,-135
67,51,742,-135
65,53,741,-135
66,53,743,-138
66,52,744,-139
65,55,743,-133
68,54,743,-134
66,52,743,-134
68,51,741,-139
66,53,741,-135
64,50,742,-137
64,52,744,-138
67,48,741,-138
64,48,744,-136
62,50,742,-132
61,54,740,-134
65,53,737,-134
66,51,738,-135
61,53,736,-139
62,55,739,-137
62,54,739,-136
64,52,740,-137
66,45,743,-138
68,46,742,-136
65,54,738,-132
64,52,742,-135
61,52,741,-137
60,54,737,-138
61,56,735,-138
66,54,737,-134
63,50,742,-137
64,47,746,-139
63,50,741,-137
65,49,742,-138
66,48,744,-139
65,50,745,-137
67,51,739,-136
68,49,741,-137
66,47,744,-139
63,48,747,-138
60,52,742,-136
60,53,743,-134
65,54,742,-136
64,52,744,-137
64,54,742,-134
65,51,743,-136
66,54,744,-137
65,52,746,-138
63,52,745,-140
63,51,744,-135
66,49,744,-137
67,47,746,-140
67,49,745,-135
64,49,747,-137
64,54,741,-136
66,53,738,-137
65,56,734,-139
66,52,739,-135
65,47,745,-136
62,51,742,-136
65,49,740,-139
66,49,740,-138
66,51,741,-135
63,51,742,-135
63,49,741,-137
63,50,742,-138
63,50,740,-138
65,50,739,-137
63,50,741,-134
63,57,740,-136
62,51,737,-137
64,49,736,-136
64,48,740,-133
67,51,741,-135
66,48,745,-137
67,51,739,-138
65,49,742,-138
63,49,744,-135
65,56,741,-137
64,51,740,-135
62,51,741,-137
64,51,738,-139
64,48,743,-135
68,52,739,-137
65,48,739,-138
63,54,737,-135
66,53,741,-136
63,48,741,-137
63,50,738,-136
63,51,741,-137
65,54,742,-137
65,52,740,-138
66,52,738,-135
67,48,739,-136
64,50,741,-136
64,57,740,-134
65,51,741,-132
64,49,740,-136
66,46,747,-137
66,50,744,-136
65,48,743,-139
67,49,742,-139
67,54,742,-140
65,51,744,-139
66,50,743,-137
61,50,745,-134
63,52,744,-138
60,52,743,-140
60,53,743,-136
63,50,744,-137
66,51,739,-135
62,51,740,-138
67,54,741,-140
64,51,743,-138
64,52,738,-136
63,50,740,-137
65,49,742,-136
66,48,743,-135
68,52,738,-137
65,51,740,-140
65,51,740,-139
67,48,740,-138
65,49,742,-135
62,55,738,-138
64,54,740,-140
64,49,738,-137
61,49,742,-133
64,52,744,-136
65,51,744,-138
65,48,742,-139
68,47,740,-137
67,51,739,-135
68,51,740,-134
65,51,737,-138
64,53,737,-140
65,55,738,-138
63,51,743,-138
65,51,745,-136
65,52,740,-135
60,55,739,-136
61,56,737,-136
64,58,739,-140
61,53,742,-138
62,53,743,-133
66,53,737,-135
65,53,739,-139
64,51,740,-137
65,49,743,-135
64,50,742,-134
62,52,739,-133
63,53,738,-135
63,54,738,-136
65,52,744,-134
69,48,745,-139
66,44,747,-139
65,51,739,-137
69,51,740,-137
65,55,737,-138
64,54,736,-134
62,53,738,-139
65,52,737,-136
63,54,735,-137
66,51,739,-137
67,51,742,-139
68,47,744,-140
66,49,740,-137
63,49,740,-137
65,50,746,-135
65,50,744,-137
66,49,740,-138
68,50,739,-138
66,50,740,-134
64,51,739,-136
66,52,737,-136
66,52,737,-137
65,47,744,-136
62,49,744,-136
64,50,742,-139
66,54,741,-137
66,53,742,-137
70,50,745,-135
65,51,744,-141
64,52,743,-137
64,54,742,-137
61,54,740,-135
66,49,743,-140
66,50,741,-141
66,43,744,-135
67,50,739,-134
65,50,739,-135
66,53,734,-138
66,51,739,-142
68,52,738,-137
67,55,738,-131
67,57,740,-136
65,57,739,-137
64,53,739,-139
66,50,740,-136
64,58,737,-136
67,54,739,-138
67,54,739,-137
68,50,742,-135
60,55,738,-136
59,49,742,-137
64,51,743,-136
64,47,743,-135
63,50,743,-137
63,49,743,-135
65,48,741,-134
65,46,743,-136
62,51,742,-138
67,47,743,-138
64,52,738,-138
65,52,740,-136
65,55,742,-135
61,51,742,-137
62,54,739,-138
64,53,739,-136
66,55,737,-139
65,50,743,-138
66,51,744,-134
69,48,742,-134
65,46,742,-133
63,49,743,-134
64,49,743,-137
64,48,741,-137
65,53,739,-136
66,54,739,-135
67,53,739,-137
64,48,742,-139
64,48,743,-137
67,48,743,-138
68,50,744,-138
66,52,742,-139
65,55,739,-137
67,50,741,-135
65,49,743,-135
64,49,740,-137
64,53,736,-138
67,53,737,-140
64,54,741,-137
68,51,742,-137
66,47,742,-137
66,44,746,-139
67,51,739,-140
66,55,734,-139
66,57,733,-133
65,52,739,-138
66,48,740,-138
60,53,739,-137
65,55,737,-136
66,51,741,-136
63,49,740,-137
65,52,738,-133
62,51,741,-133
65,51,742,-139
67,52,740,-139
67,47,741,-140
69,50,743,-137
67,48,744,-135
65,52,743,-134
68,51,745,-140
67,50,746,-142
65,49,746,-139
65,51,745,-138
64,53,745,-139
67,52,744,-135
64,50,746,-138
64,51,745,-136
65,49,744,-134
66,50,743,-133
65,54,740,-137
65,54,741,-136
66,57,742,-134
66,53,740,-137
67,53,742,-137
65,46,744,-137
65,51,744,-138
63,48,745,-137
65,48,744,-134
66,47,744,-132
65,48,743,-133
62,49,742,-138
65,54,740,-137
65,54,740,-133
66,53,740,-132
62,54,740,-136
63,55,740,-137
67,53,741,-134
66,51,741,-137
63,50,740,-137
66,54,738,-137
64,53,740,-135
64,54,741,-136
64,53,745,-137
66,55,741,-138
67,49,744,-137
65,50,742,-138
65,55,741,-139
63,53,743,-136
65,51,745,-135
67,50,745,-135
64,50,743,-139
64,52,741,-138
64,53,741,-135
66,51,743,-138
63,51,742,-140
62,47,741,-138
61,50,742,-136
62,52,738,-136
64,53,739,-140
67,52,740,-138
71,54,742,-138
68,49,742,-137
64,53,740,-135
66,52,737,-137
64,52,740,-137
65,49,744,-138
65,48,743,-140
62,49,742,-135
63,48,741,-137
60,53,736,-140
60,58,731,-138
62,55,735,-131
61,55,741,-131
61,49,742,-134
66,53,736,-137
67,49,742,-136
63,48,744,-137
65,51,742,-137
64,48,741,-136
63,52,735,-139
66,53,735,-136
64,52,738,-136
63,51,741,-134
62,50,740,-138
64,52,739,-139
63,50,740,-138
69,49,741,-138
67,52,739,-135
66,53,740,-133
68,49,741,-137
67,47,741,-138
69,54,735,-135
65,54,736,-135
63,50,738,-140
62,51,743,-137
63,52,742,-135
67,56,742,-133
68,50,742,-134
65,50,742,-136
63,47,743,-140
67,48,743,-140
64,50,741,-142
63,46,742,-139
63,50,740,-138
63,49,743,-134
67,53,743,-134
65,51,743,-135
64,50,742,-135
67,51,741,-133
67,51,741,-141
66,49,741,-139
66,52,741,-141
63,53,737,-139
65,50,741,-136
68,52,742,-136
65,54,743,-137
62,50,746,-138
64,49,744,-139
64,48,745,-134
65,49,744,-135
66,46,747,-137
65,49,745,-139
64,49,741,-136
66,49,741,-135
63,52,743,-138
65,50,743,-138
60,54,740,-137
59,49,741,-136
62,52,739,-135
64,49,740,-138
67,50,741,-136
68,49,741,-137
63,51,741,-134
60,50,743,-136
65,51,743,-138
66,50,744,-143
65,47,739,-137
61,51,739,-135
64,53,738,-139
64,47,742,-138
63,47,743,-138
66,49,742,-137
65,50,740,-136
65,51,742,-137
67,45,745,-136
65,51,742,-136
62,54,741,-139
66,54,743,-136
64,48,744,-135
63,51,743,-135
65,47,744,-138
71,50,745,-143
68,48,746,-140
64,50,743,-135
65,52,740,-136
67,50,738,-141
60,52,741,-141
62,48,743,-137
65,54,739,-134
64,50,741,-137
66,52,740,-139
66,49,745,-135
65,52,744,-134
64,56,744,-136
65,56,742,-140
67,52,742,-137
64,54,743,-137
67,54,742,-135
66,53,741,-136
67,49,742,-139
67,50,742,-138
63,51,742,-137
66,50,743,-137
66,50,742,-137
67,52,738,-135
67,50,739,-139
62,51,740,-138
63,53,742,-135
63,55,735,-136
64,53,735,-140
62,50,741,-138
66,48,742,-133
64,50,740,-133
67,48,740,-134
64,50,738,-137
63,54,740,-135
63,52,743,-136
64,50,741,-137
67,51,742,-140
60,53,741,-140
60,53,738,-139
64,51,743,-139
64,47,745,-140
66,48,744,-136
63,54,740,-139
62,55,740,-137
62,52,741,-136
64,46,745,-139
67,46,742,-139
68,49,744,-136
64,50,740,-137
64,50,739,-137
65,50,741,-137
64,47,742,-138
65,51,740,-138
65,49,741,-138
67,53,740,-135
65,53,738,-134
63,51,741,-138
63,53,738,-138
63,54,740,-137
64,52,740,-135
65,52,741,-134
69,50,743,-136
65,50,741,-139
65,51,744,-138
67,51,741,-137
69,52,742,-138
69,52,742,-138
66,52,741,-136
66,53,740,-133
66,53,741,-137
66,57,741,-139
62,55,740,-133
61,54,741,-135
66,48,743,-139
66,48,743,-136
67,48,743,-132
63,47,744,-136
64,49,743,-135
64,56,739,-135
64,56,740,-133
64,52,742,-136
65,49,745,-138
64,49,746,-136
62,58,740,-137
63,57,740,-135
64,53,737,-138
64,48,741,-138
65,50,743,-132
66,51,742,-134
66,48,740,-136
67,46,740,-137
64,48,742,-135
62,54,737,-137
64,53,738,-134
62,54,738,-135
63,56,735,-134
61,56,740,-135
65,54,740,-139
64,50,742,-139
64,53,736,-137
66,54,737,-137
68,49,741,-133
67,44,747,-136
66,46,745,-137
64,51,742,-137
61,51,742,-139
68,54,740,-137
70,54,740,-136
65,58,738,-137
64,57,740,-136
66,51,743,-139
66,48,744,-139
66,53,742,-137
64,51,744,-134
65,50,746,-138
